"filename", "language", "JavaScript", "JSON", "XML", "CSS", "HTML", "comment", "blank", "total"
"d:\horizon\server\app.js", "JavaScript", 55, 0, 0, 0, 0, 37, 10, 102
"d:\horizon\server\controllers\horizon.js", "JavaScript", 74, 0, 0, 0, 0, 58, 19, 151
"d:\horizon\server\data.js", "JavaScript", 24, 0, 0, 0, 0, 0, 4, 28
"d:\horizon\server\firebase\firebase.conf.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"d:\horizon\server\models\Blog.js", "JavaScript", 29, 0, 0, 0, 0, 1, 2, 32
"d:\horizon\server\models\demo.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 20
"d:\horizon\server\models\horizon.js", "JavaScript", 93, 0, 0, 0, 0, 2, 6, 101
"d:\horizon\server\package-lock.json", "JSON", 0, 4338, 0, 0, 0, 0, 1, 4339
"d:\horizon\server\package.json", "JSON", 0, 45, 0, 0, 0, 0, 1, 46
"d:\horizon\server\public\assets\css\aos.css", "CSS", 0, 0, 0, 1, 0, 1, 0, 2
"d:\horizon\server\public\assets\css\bifocal.css", "CSS", 0, 0, 0, 169, 0, 3, 1, 173
"d:\horizon\server\public\assets\css\blur_cards.css", "CSS", 0, 0, 0, 93, 0, 0, 13, 106
"d:\horizon\server\public\assets\css\bootstrap.min.css", "CSS", 0, 0, 0, 1, 0, 6, 0, 7
"d:\horizon\server\public\assets\css\color-1.css", "CSS", 0, 0, 0, 100, 0, 18, 14, 132
"d:\horizon\server\public\assets\css\colors\color-10.css", "CSS", 0, 0, 0, 98, 0, 18, 15, 131
"d:\horizon\server\public\assets\css\colors\color-11.css", "CSS", 0, 0, 0, 124, 0, 18, 19, 161
"d:\horizon\server\public\assets\css\colors\color-12.css", "CSS", 0, 0, 0, 124, 0, 18, 19, 161
"d:\horizon\server\public\assets\css\colors\color-13.css", "CSS", 0, 0, 0, 124, 0, 18, 23, 165
"d:\horizon\server\public\assets\css\colors\color-14.css", "CSS", 0, 0, 0, 124, 0, 18, 18, 160
"d:\horizon\server\public\assets\css\colors\color-15.css", "CSS", 0, 0, 0, 124, 0, 18, 18, 160
"d:\horizon\server\public\assets\css\colors\color-16.css", "CSS", 0, 0, 0, 124, 0, 18, 20, 162
"d:\horizon\server\public\assets\css\colors\color-17.css", "CSS", 0, 0, 0, 124, 0, 18, 18, 160
"d:\horizon\server\public\assets\css\colors\color-18.css", "CSS", 0, 0, 0, 124, 0, 18, 18, 160
"d:\horizon\server\public\assets\css\colors\color-19.css", "CSS", 0, 0, 0, 124, 0, 18, 18, 160
"d:\horizon\server\public\assets\css\colors\color-2.css", "CSS", 0, 0, 0, 98, 0, 18, 15, 131
"d:\horizon\server\public\assets\css\colors\color-20.css", "CSS", 0, 0, 0, 124, 0, 18, 18, 160
"d:\horizon\server\public\assets\css\colors\color-3.css", "CSS", 0, 0, 0, 98, 0, 18, 15, 131
"d:\horizon\server\public\assets\css\colors\color-4.css", "CSS", 0, 0, 0, 98, 0, 18, 15, 131
"d:\horizon\server\public\assets\css\colors\color-5.css", "CSS", 0, 0, 0, 98, 0, 18, 15, 131
"d:\horizon\server\public\assets\css\colors\color-6.css", "CSS", 0, 0, 0, 98, 0, 18, 15, 131
"d:\horizon\server\public\assets\css\colors\color-7.css", "CSS", 0, 0, 0, 98, 0, 18, 15, 131
"d:\horizon\server\public\assets\css\colors\color-8.css", "CSS", 0, 0, 0, 98, 0, 18, 15, 131
"d:\horizon\server\public\assets\css\colors\color-9.css", "CSS", 0, 0, 0, 98, 0, 18, 15, 131
"d:\horizon\server\public\assets\css\fontawesome-all.min.css", "CSS", 0, 0, 0, 1, 0, 4, 0, 5
"d:\horizon\server\public\assets\css\lenses.css", "CSS", 0, 0, 0, 279, 0, 0, 48, 327
"d:\horizon\server\public\assets\css\linearicons.css", "CSS", 0, 0, 0, 526, 0, 1, 4, 531
"d:\horizon\server\public\assets\css\lity.min.css", "CSS", 0, 0, 0, 1, 0, 2, 0, 3
"d:\horizon\server\public\assets\css\main.css", "CSS", 0, 0, 0, 1495, 0, 176, 339, 2010
"d:\horizon\server\public\assets\css\news.css", "CSS", 0, 0, 0, 258, 0, 1, 2, 261
"d:\horizon\server\public\assets\css\single-vision.css", "CSS", 0, 0, 0, 489, 0, 0, 17, 506
"d:\horizon\server\public\assets\css\slick-theme.css", "CSS", 0, 0, 0, 170, 0, 4, 31, 205
"d:\horizon\server\public\assets\css\slick.css", "CSS", 0, 0, 0, 104, 0, 1, 15, 120
"d:\horizon\server\public\assets\css\timeline.css", "CSS", 0, 0, 0, 235, 0, 0, 37, 272
"d:\horizon\server\public\assets\fonts\Linearicons-Free.svg", "XML", 0, 0, 199, 0, 0, 0, 0, 199
"d:\horizon\server\public\assets\fonts\fa-brands-400.svg", "XML", 0, 0, 1013, 0, 0, 4, 1, 1018
"d:\horizon\server\public\assets\fonts\fa-regular-400.svg", "XML", 0, 0, 362, 0, 0, 4, 1, 367
"d:\horizon\server\public\assets\fonts\fa-solid-900.svg", "XML", 0, 0, 1640, 0, 0, 4, 1, 1645
"d:\horizon\server\public\assets\fonts\slick.svg", "XML", 0, 0, 13, 0, 0, 0, 2, 15
"d:\horizon\server\public\assets\img\circle.svg", "XML", 0, 0, 8, 0, 0, 1, 2, 11
"d:\horizon\server\public\assets\js\aos.js", "JavaScript", 1, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\server\public\assets\js\bifocal.js", "JavaScript", 4, 0, 0, 0, 0, 0, 2, 6
"d:\horizon\server\public\assets\js\bootstrap.min.js", "JavaScript", 1, 0, 0, 0, 0, 6, 0, 7
"d:\horizon\server\public\assets\js\jquery-3.3.1.min.js", "JavaScript", 1, 0, 0, 0, 0, 1, 1, 3
"d:\horizon\server\public\assets\js\jquery.counterup.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1
"d:\horizon\server\public\assets\js\lity.min.js", "JavaScript", 1, 0, 0, 0, 0, 3, 0, 4
"d:\horizon\server\public\assets\js\main.js", "JavaScript", 191, 0, 0, 0, 0, 24, 21, 236
"d:\horizon\server\public\assets\js\news.js", "JavaScript", 12, 0, 0, 0, 0, 2, 1, 15
"d:\horizon\server\public\assets\js\popper.min.js", "JavaScript", 1, 0, 0, 0, 0, 4, 1, 6
"d:\horizon\server\public\assets\js\single-vision.js", "JavaScript", 47, 0, 0, 0, 0, 0, 6, 53
"d:\horizon\server\public\assets\js\slick.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 2
"d:\horizon\server\public\assets\js\timeline.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 18
"d:\horizon\server\public\assets\js\waypoints.min.js", "JavaScript", 1, 0, 0, 0, 0, 6, 0, 7
"d:\horizon\server\routes\horizon.js", "JavaScript", 10, 0, 0, 0, 0, 0, 5, 15
"d:\horizon\server\schema\schema.js", "JavaScript", 38, 0, 0, 0, 0, 2, 7, 47
"d:\horizon\server\views\assets\css\aos.css", "CSS", 0, 0, 0, 1, 0, 1, 0, 2
"d:\horizon\server\views\assets\css\bifocal.css", "CSS", 0, 0, 0, 169, 0, 3, 1, 173
"d:\horizon\server\views\assets\css\blur_cards.css", "CSS", 0, 0, 0, 87, 0, 0, 13, 100
"d:\horizon\server\views\assets\css\bootstrap.min.css", "CSS", 0, 0, 0, 1, 0, 6, 0, 7
"d:\horizon\server\views\assets\css\color-1.css", "CSS", 0, 0, 0, 100, 0, 18, 14, 132
"d:\horizon\server\views\assets\css\colors\color-10.css", "CSS", 0, 0, 0, 98, 0, 18, 15, 131
"d:\horizon\server\views\assets\css\colors\color-11.css", "CSS", 0, 0, 0, 124, 0, 18, 19, 161
"d:\horizon\server\views\assets\css\colors\color-12.css", "CSS", 0, 0, 0, 124, 0, 18, 19, 161
"d:\horizon\server\views\assets\css\colors\color-13.css", "CSS", 0, 0, 0, 124, 0, 18, 23, 165
"d:\horizon\server\views\assets\css\colors\color-14.css", "CSS", 0, 0, 0, 124, 0, 18, 18, 160
"d:\horizon\server\views\assets\css\colors\color-15.css", "CSS", 0, 0, 0, 124, 0, 18, 18, 160
"d:\horizon\server\views\assets\css\colors\color-16.css", "CSS", 0, 0, 0, 124, 0, 18, 20, 162
"d:\horizon\server\views\assets\css\colors\color-17.css", "CSS", 0, 0, 0, 124, 0, 18, 18, 160
"d:\horizon\server\views\assets\css\colors\color-18.css", "CSS", 0, 0, 0, 124, 0, 18, 18, 160
"d:\horizon\server\views\assets\css\colors\color-19.css", "CSS", 0, 0, 0, 124, 0, 18, 18, 160
"d:\horizon\server\views\assets\css\colors\color-2.css", "CSS", 0, 0, 0, 98, 0, 18, 15, 131
"d:\horizon\server\views\assets\css\colors\color-20.css", "CSS", 0, 0, 0, 124, 0, 18, 18, 160
"d:\horizon\server\views\assets\css\colors\color-3.css", "CSS", 0, 0, 0, 98, 0, 18, 15, 131
"d:\horizon\server\views\assets\css\colors\color-4.css", "CSS", 0, 0, 0, 98, 0, 18, 15, 131
"d:\horizon\server\views\assets\css\colors\color-5.css", "CSS", 0, 0, 0, 98, 0, 18, 15, 131
"d:\horizon\server\views\assets\css\colors\color-6.css", "CSS", 0, 0, 0, 98, 0, 18, 15, 131
"d:\horizon\server\views\assets\css\colors\color-7.css", "CSS", 0, 0, 0, 98, 0, 18, 15, 131
"d:\horizon\server\views\assets\css\colors\color-8.css", "CSS", 0, 0, 0, 98, 0, 18, 15, 131
"d:\horizon\server\views\assets\css\colors\color-9.css", "CSS", 0, 0, 0, 98, 0, 18, 15, 131
"d:\horizon\server\views\assets\css\fontawesome-all.min.css", "CSS", 0, 0, 0, 1, 0, 4, 0, 5
"d:\horizon\server\views\assets\css\lenses.css", "CSS", 0, 0, 0, 274, 0, 0, 48, 322
"d:\horizon\server\views\assets\css\linearicons.css", "CSS", 0, 0, 0, 532, 0, 1, 4, 537
"d:\horizon\server\views\assets\css\lity.min.css", "CSS", 0, 0, 0, 1, 0, 2, 0, 3
"d:\horizon\server\views\assets\css\main.css", "CSS", 0, 0, 0, 1479, 0, 176, 334, 1989
"d:\horizon\server\views\assets\css\news.css", "CSS", 0, 0, 0, 258, 0, 1, 2, 261
"d:\horizon\server\views\assets\css\single-vision.css", "CSS", 0, 0, 0, 466, 0, 0, 17, 483
"d:\horizon\server\views\assets\css\slick-theme.css", "CSS", 0, 0, 0, 170, 0, 4, 31, 205
"d:\horizon\server\views\assets\css\slick.css", "CSS", 0, 0, 0, 104, 0, 1, 15, 120
"d:\horizon\server\views\assets\fonts\Linearicons-Free.svg", "XML", 0, 0, 199, 0, 0, 0, 0, 199
"d:\horizon\server\views\assets\fonts\fa-brands-400.svg", "XML", 0, 0, 1013, 0, 0, 4, 1, 1018
"d:\horizon\server\views\assets\fonts\fa-regular-400.svg", "XML", 0, 0, 362, 0, 0, 4, 1, 367
"d:\horizon\server\views\assets\fonts\fa-solid-900.svg", "XML", 0, 0, 1640, 0, 0, 4, 1, 1645
"d:\horizon\server\views\assets\fonts\slick.svg", "XML", 0, 0, 13, 0, 0, 0, 2, 15
"d:\horizon\server\views\assets\img\circle.svg", "XML", 0, 0, 8, 0, 0, 1, 2, 11
"d:\horizon\server\views\assets\js\aos.js", "JavaScript", 1, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\server\views\assets\js\bifocal.js", "JavaScript", 4, 0, 0, 0, 0, 0, 2, 6
"d:\horizon\server\views\assets\js\bootstrap.min.js", "JavaScript", 1, 0, 0, 0, 0, 6, 0, 7
"d:\horizon\server\views\assets\js\jquery-3.3.1.min.js", "JavaScript", 1, 0, 0, 0, 0, 1, 1, 3
"d:\horizon\server\views\assets\js\jquery.counterup.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1
"d:\horizon\server\views\assets\js\lity.min.js", "JavaScript", 1, 0, 0, 0, 0, 3, 0, 4
"d:\horizon\server\views\assets\js\main.js", "JavaScript", 191, 0, 0, 0, 0, 24, 21, 236
"d:\horizon\server\views\assets\js\news.js", "JavaScript", 12, 0, 0, 0, 0, 2, 1, 15
"d:\horizon\server\views\assets\js\popper.min.js", "JavaScript", 1, 0, 0, 0, 0, 4, 1, 6
"d:\horizon\server\views\assets\js\single-vision.js", "JavaScript", 47, 0, 0, 0, 0, 0, 6, 53
"d:\horizon\server\views\assets\js\slick.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 2
"d:\horizon\server\views\assets\js\waypoints.min.js", "JavaScript", 1, 0, 0, 0, 0, 6, 0, 7
"d:\horizon\server\views\demo.ejs", "HTML", 0, 0, 0, 0, 1334, 142, 25, 1501
"d:\horizon\server\views\index.ejs", "HTML", 0, 0, 0, 0, 807, 87, 31, 925
"d:\horizon\server\views\news-single.html", "HTML", 0, 0, 0, 0, 455, 59, 30, 544
"d:\horizon\server\views\news-with-sidebar-one-col.html", "HTML", 0, 0, 0, 0, 454, 59, 31, 544
"d:\horizon\server\views\news-with-sidebar.html", "HTML", 0, 0, 0, 0, 454, 60, 32, 546
"d:\horizon\server\views\news-without-sidebar.html", "HTML", 0, 0, 0, 0, 365, 58, 28, 451
"Total", "-", 885, 4383, 6470, 11809, 3869, 1803, 1961, 31180
