Date : 2021-04-19 16:07:13
Directory : d:\horizon\admin
Total : 57 files,  25009 codes, 218 comments, 348 blanks, all 25575 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          4 |     21,035 |         10 |          2 |     21,047 |
| JavaScript |         45 |      3,924 |        177 |        329 |      4,430 |
| HTML       |          1 |         20 |         23 |          1 |         44 |
| SCSS       |          4 |         17 |          8 |          7 |         32 |
| Markdown   |          1 |         13 |          0 |          7 |         20 |
| CSS        |          2 |          0 |          0 |          2 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                      | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                         |         57 |     25,009 |        218 |        348 |     25,575 |
| public                                                    |          2 |         35 |         23 |          2 |         60 |
| src                                                       |         51 |      3,941 |        185 |        338 |      4,464 |
| src\assets                                                |          4 |        274 |          0 |          6 |        280 |
| src\assets\icons                                          |          4 |        274 |          0 |          6 |        280 |
| src\containers                                            |         12 |        811 |          3 |         50 |        864 |
| src\firebase                                              |          1 |         14 |          1 |          4 |         19 |
| src\queries                                               |          1 |          0 |         17 |          6 |         23 |
| src\reusable                                              |          1 |          3 |          0 |          1 |          4 |
| src\scss                                                  |          4 |         17 |          8 |          7 |         32 |
| src\views                                                 |         20 |      2,604 |         45 |        201 |      2,850 |
| src\views\Preview                                         |          2 |         25 |          1 |          9 |         35 |
| src\views\UploadImg                                       |          1 |         52 |          0 |          7 |         59 |
| src\views\charts                                          |          4 |        499 |          5 |         41 |        545 |
| src\views\dashboard                                       |          1 |        537 |          0 |         21 |        558 |
| src\views\pages                                           |          6 |        668 |         37 |         65 |        770 |
| src\views\pages\landing                                   |          2 |        430 |         37 |         53 |        520 |
| src\views\pages\login                                     |          1 |         76 |          0 |          3 |         79 |
| src\views\pages\page404                                   |          1 |         42 |          0 |          3 |         45 |
| src\views\pages\page500                                   |          1 |         42 |          0 |          3 |         45 |
| src\views\pages\register                                  |          1 |         78 |          0 |          3 |         81 |
| src\views\users                                           |          3 |        157 |          0 |         30 |        187 |
| src\views\widgets                                         |          3 |        666 |          2 |         28 |        696 |
+-----------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                  | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\horizon\admin\REACT.md                                 | Markdown   |         13 |          0 |          7 |         20 |
| d:\horizon\admin\jsconfig.json                            | JSON       |          6 |          0 |          0 |          6 |
| d:\horizon\admin\package-lock.json                        | JSON       |     20,947 |          0 |          1 |     20,948 |
| d:\horizon\admin\package.json                             | JSON       |         67 |         10 |          0 |         77 |
| d:\horizon\admin\public\index.html                        | HTML       |         20 |         23 |          1 |         44 |
| d:\horizon\admin\public\manifest.json                     | JSON       |         15 |          0 |          1 |         16 |
| d:\horizon\admin\src\App.js                               | JavaScript |         25 |          8 |          7 |         40 |
| d:\horizon\admin\src\App.test.js                          | JavaScript |         17 |          0 |          5 |         22 |
| d:\horizon\admin\src\assets\icons\index.js                | JavaScript |        259 |          0 |          3 |        262 |
| d:\horizon\admin\src\assets\icons\logo-negative.js        | JavaScript |          3 |          0 |          1 |          4 |
| d:\horizon\admin\src\assets\icons\logo.js                 | JavaScript |          3 |          0 |          1 |          4 |
| d:\horizon\admin\src\assets\icons\sygnet.js               | JavaScript |          9 |          0 |          1 |         10 |
| d:\horizon\admin\src\containers\TheContent.js             | JavaScript |         41 |          1 |          5 |         47 |
| d:\horizon\admin\src\containers\TheFooter.js              | JavaScript |         17 |          0 |          3 |         20 |
| d:\horizon\admin\src\containers\TheHeader.js              | JavaScript |         96 |          1 |         12 |        109 |
