"filename", "language", "JavaScript", "HTML", "JSON", "CSS", "XML", "comment", "blank", "total"
"d:\horizon\server\app.js", "JavaScript", 55, 0, 0, 0, 0, 37, 10, 102
"d:\horizon\server\controllers\horizon.js", "JavaScript", 84, 0, 0, 0, 0, 62, 23, 169
"d:\horizon\server\data.js", "JavaScript", 24, 0, 0, 0, 0, 0, 4, 28
"d:\horizon\server\firebase\firebase.conf.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"d:\horizon\server\models\Blog.js", "JavaScript", 29, 0, 0, 0, 0, 1, 2, 32
"d:\horizon\server\models\Gallery.js", "JavaScript", 9, 0, 0, 0, 0, 0, 2, 11
"d:\horizon\server\models\demo.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 20
"d:\horizon\server\models\horizon.js", "JavaScript", 45, 0, 0, 0, 0, 50, 6, 101
"d:\horizon\server\package-lock.json", "JSON", 0, 0, 4338, 0, 0, 0, 1, 4339
"d:\horizon\server\package.json", "JSON", 0, 0, 45, 0, 0, 0, 1, 46
"d:\horizon\server\public\assets\css\about\about.css", "CSS", 0, 0, 0, 114, 0, 8, 29, 151
"d:\horizon\server\public\assets\css\aos.css", "CSS", 0, 0, 0, 1, 0, 1, 0, 2
"d:\horizon\server\public\assets\css\bifocal.css", "CSS", 0, 0, 0, 169, 0, 3, 1, 173
"d:\horizon\server\public\assets\css\blur_cards.css", "CSS", 0, 0, 0, 93, 0, 0, 13, 106
"d:\horizon\server\public\assets\css\bootstrap.min.css", "CSS", 0, 0, 0, 1, 0, 6, 0, 7
"d:\horizon\server\public\assets\css\color-1.css", "CSS", 0, 0, 0, 100, 0, 18, 14, 132
"d:\horizon\server\public\assets\css\contact.css", "CSS", 0, 0, 0, 243, 0, 15, 52, 310
"d:\horizon\server\public\assets\css\contactUtil.css", "CSS", 0, 0, 0, 2824, 0, 71, 99, 2994
"d:\horizon\server\public\assets\css\fontawesome-all.min.css", "CSS", 0, 0, 0, 1, 0, 4, 0, 5
"d:\horizon\server\public\assets\css\lenses.css", "CSS", 0, 0, 0, 279, 0, 0, 48, 327
"d:\horizon\server\public\assets\css\linearicons.css", "CSS", 0, 0, 0, 526, 0, 1, 4, 531
"d:\horizon\server\public\assets\css\lity.min.css", "CSS", 0, 0, 0, 1, 0, 2, 0, 3
"d:\horizon\server\public\assets\css\main.css", "CSS", 0, 0, 0, 1497, 0, 176, 338, 2011
"d:\horizon\server\public\assets\css\news.css", "CSS", 0, 0, 0, 258, 0, 1, 2, 261
"d:\horizon\server\public\assets\css\single-vision.css", "CSS", 0, 0, 0, 489, 0, 0, 17, 506
"d:\horizon\server\public\assets\css\slick-theme.css", "CSS", 0, 0, 0, 170, 0, 4, 31, 205
"d:\horizon\server\public\assets\css\slick.css", "CSS", 0, 0, 0, 104, 0, 1, 15, 120
