"filename", "language", "CSS", "JSON", "Markdown", "JavaScript", "SCSS", "HTML", "comment", "blank", "total"
"d:\horizon\admin\REACT.md", "Markdown", 0, 0, 13, 0, 0, 0, 0, 7, 20
"d:\horizon\admin\jsconfig.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 6
"d:\horizon\admin\package-lock.json", "JSON", 0, 20955, 0, 0, 0, 0, 0, 1, 20956
"d:\horizon\admin\package.json", "JSON", 0, 68, 0, 0, 0, 0, 10, 0, 78
"d:\horizon\admin\public\index.html", "HTML", 0, 0, 0, 0, 0, 20, 23, 1, 44
"d:\horizon\admin\public\manifest.json", "JSON", 0, 15, 0, 0, 0, 0, 0, 1, 16
"d:\horizon\admin\src\App.js", "JavaScript", 0, 0, 0, 25, 0, 0, 8, 7, 40
"d:\horizon\admin\src\App.test.js", "JavaScript", 0, 0, 0, 17, 0, 0, 0, 5, 22
"d:\horizon\admin\src\assets\icons\index.js", "JavaScript", 0, 0, 0, 259, 0, 0, 0, 3, 262
"d:\horizon\admin\src\assets\icons\logo-negative.js", "JavaScript", 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\horizon\admin\src\assets\icons\logo.js", "JavaScript", 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\horizon\admin\src\assets\icons\sygnet.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 1, 10
"d:\horizon\admin\src\containers\TheContent.js", "JavaScript", 0, 0, 0, 41, 0, 0, 1, 5, 47
"d:\horizon\admin\src\containers\TheFooter.js", "JavaScript", 0, 0, 0, 17, 0, 0, 0, 3, 20
"d:\horizon\admin\src\containers\TheHeader.js", "JavaScript", 0, 0, 0, 96, 0, 0, 1, 12, 109
"d:\horizon\admin\src\containers\TheHeaderDropdown.js", "JavaScript", 0, 0, 0, 90, 0, 0, 0, 3, 93
"d:\horizon\admin\src\containers\TheHeaderDropdownMssg.js", "JavaScript", 0, 0, 0, 122, 0, 0, 0, 5, 127
"d:\horizon\admin\src\containers\TheHeaderDropdownNotif.js", "JavaScript", 0, 0, 0, 68, 0, 0, 0, 2, 70
"d:\horizon\admin\src\containers\TheHeaderDropdownTasks.js", "JavaScript", 0, 0, 0, 57, 0, 0, 0, 2, 59
"d:\horizon\admin\src\containers\TheLayout.js", "JavaScript", 0, 0, 0, 22, 0, 0, 0, 4, 26
"d:\horizon\admin\src\containers\TheSidebar.js", "JavaScript", 0, 0, 0, 51, 0, 0, 1, 7, 59
"d:\horizon\admin\src\containers\_nav.js", "JavaScript", 0, 0, 0, 227, 0, 0, 0, 4, 231
"d:\horizon\admin\src\containers\index.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 2, 22
"d:\horizon\admin\src\containers\preview-modal.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\horizon\admin\src\firebase\firebase.js", "JavaScript", 0, 0, 0, 14, 0, 0, 1, 4, 19
"d:\horizon\admin\src\index.js", "JavaScript", 0, 0, 0, 19, 0, 0, 34, 14, 67
"d:\horizon\admin\src\polyfill.js", "JavaScript", 0, 0, 0, 26, 0, 0, 26, 12, 64
"d:\horizon\admin\src\queries\queries.js", "JavaScript", 0, 0, 0, 0, 0, 0, 17, 6, 23
"d:\horizon\admin\src\reusable\index.js", "JavaScript", 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\horizon\admin\src\routes.js", "JavaScript", 0, 0, 0, 19, 0, 0, 13, 6, 38
"d:\horizon\admin\src\scss\_custom.scss", "SCSS", 0, 0, 0, 0, 0, 0, 1, 0, 1
"d:\horizon\admin\src\scss\_fixes.scss", "SCSS", 0, 0, 0, 0, 13, 0, 2, 2, 17
"d:\horizon\admin\src\scss\_variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\horizon\admin\src\scss\style.scss", "SCSS", 0, 0, 0, 0, 4, 0, 4, 4, 12
"d:\horizon\admin\src\serviceWorker.js", "JavaScript", 0, 0, 0, 85, 0, 0, 30, 13, 128
"d:\horizon\admin\src\setupTests.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 3, 16
"d:\horizon\admin\src\store.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 3, 17
"d:\horizon\admin\src\views\Preview\Preview.js", "JavaScript", 0, 0, 0, 25, 0, 0, 1, 8, 34
"d:\horizon\admin\src\views\Preview\preview.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\horizon\admin\src\views\UploadImg\UploadImg.js", "JavaScript", 0, 0, 0, 94, 0, 0, 0, 19, 113
"d:\horizon\admin\src\views\charts\ChartBarSimple.js", "JavaScript", 0, 0, 0, 65, 0, 0, 2, 9, 76
"d:\horizon\admin\src\views\charts\ChartLineSimple.js", "JavaScript", 0, 0, 0, 136, 0, 0, 2, 15, 153
"d:\horizon\admin\src\views\charts\Charts.js", "JavaScript", 0, 0, 0, 205, 0, 0, 0, 9, 214
"d:\horizon\admin\src\views\charts\MainChartExample.js", "JavaScript", 0, 0, 0, 93, 0, 0, 1, 8, 102
