"filename", "language", "JavaScript", "HTML", "JSON", "XML", "CSS", "comment", "blank", "total"
"d:\horizon\server\_data_sample\hero.data.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"d:\horizon\server\_data_sample\ld1.data.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"d:\horizon\server\_data_sample\ld2.data.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"d:\horizon\server\_data_sample\li1.data.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"d:\horizon\server\_data_sample\li2.data.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"d:\horizon\server\_data_sample\news.data.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"d:\horizon\server\app.js", "JavaScript", 55, 0, 0, 0, 0, 37, 10, 102
"d:\horizon\server\controllers\horizon.js", "JavaScript", 249, 0, 0, 0, 0, 83, 46, 378
"d:\horizon\server\firebase\firebase.conf.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"d:\horizon\server\models\Blog.js", "JavaScript", 33, 0, 0, 0, 0, 1, 2, 36
"d:\horizon\server\models\Gallery.js", "JavaScript", 9, 0, 0, 0, 0, 0, 2, 11
"d:\horizon\server\models\Mail.js", "JavaScript", 9, 0, 0, 0, 0, 0, 2, 11
"d:\horizon\server\models\demo.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 20
"d:\horizon\server\models\horizon.js", "JavaScript", 149, 0, 0, 0, 0, 57, 6, 212
"d:\horizon\server\package-lock.json", "JSON", 0, 0, 4338, 0, 0, 0, 1, 4339
"d:\horizon\server\package.json", "JSON", 0, 0, 46, 0, 0, 0, 1, 47
"d:\horizon\server\public\assets\css\about\about.css", "CSS", 0, 0, 0, 0, 330, 12, 71, 413
"d:\horizon\server\public\assets\css\aos.css", "CSS", 0, 0, 0, 0, 1, 1, 0, 2
"d:\horizon\server\public\assets\css\bifocal.css", "CSS", 0, 0, 0, 0, 169, 3, 1, 173
"d:\horizon\server\public\assets\css\blur_cards.css", "CSS", 0, 0, 0, 0, 93, 0, 13, 106
"d:\horizon\server\public\assets\css\bootstrap.min.css", "CSS", 0, 0, 0, 0, 1, 6, 0, 7
"d:\horizon\server\public\assets\css\color-1.css", "CSS", 0, 0, 0, 0, 100, 18, 14, 132
"d:\horizon\server\public\assets\css\contact.css", "CSS", 0, 0, 0, 0, 243, 15, 52, 310
"d:\horizon\server\public\assets\css\contactUtil.css", "CSS", 0, 0, 0, 0, 2824, 71, 99, 2994
"d:\horizon\server\public\assets\css\fontawesome-all.min.css", "CSS", 0, 0, 0, 0, 1, 4, 0, 5
"d:\horizon\server\public\assets\css\lenses.css", "CSS", 0, 0, 0, 0, 279, 0, 48, 327
"d:\horizon\server\public\assets\css\linearicons.css", "CSS", 0, 0, 0, 0, 526, 1, 4, 531
"d:\horizon\server\public\assets\css\lity.min.css", "CSS", 0, 0, 0, 0, 1, 2, 0, 3
"d:\horizon\server\public\assets\css\main.css", "CSS", 0, 0, 0, 0, 1498, 176, 338, 2012
"d:\horizon\server\public\assets\css\news.css", "CSS", 0, 0, 0, 0, 258, 1, 2, 261
"d:\horizon\server\public\assets\css\single-vision.css", "CSS", 0, 0, 0, 0, 489, 0, 17, 506
"d:\horizon\server\public\assets\css\slick-theme.css", "CSS", 0, 0, 0, 0, 170, 4, 31, 205
"d:\horizon\server\public\assets\css\slick.css", "CSS", 0, 0, 0, 0, 104, 1, 15, 120
"d:\horizon\server\public\assets\css\testimonials.css", "CSS", 0, 0, 0, 0, 216, 1, 38, 255
"d:\horizon\server\public\assets\css\timeline.css", "CSS", 0, 0, 0, 0, 235, 0, 37, 272
