"filename", "language", "JavaScript", "JSON", "HTML", "CSS", "XML", "comment", "blank", "total"
"d:\horizon\server\_data_sample\hero.data.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"d:\horizon\server\_data_sample\ld1.data.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"d:\horizon\server\_data_sample\ld2.data.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 16
"d:\horizon\server\_data_sample\li1.data.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"d:\horizon\server\_data_sample\li2.data.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"d:\horizon\server\_data_sample\news.data.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 28
"d:\horizon\server\app.js", "JavaScript", 55, 0, 0, 0, 0, 37, 10, 102
"d:\horizon\server\controllers\horizon.js", "JavaScript", 449, 0, 0, 0, 0, 115, 94, 658
"d:\horizon\server\firebase\firebase.conf.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"d:\horizon\server\models\About.js", "JavaScript", 13, 0, 0, 0, 0, 0, 2, 15
"d:\horizon\server\models\Blog.js", "JavaScript", 33, 0, 0, 0, 0, 1, 2, 36
"d:\horizon\server\models\Gallery.js", "JavaScript", 9, 0, 0, 0, 0, 0, 2, 11
"d:\horizon\server\models\Mail.js", "JavaScript", 9, 0, 0, 0, 0, 0, 2, 11
"d:\horizon\server\models\Products.js", "JavaScript", 13, 0, 0, 0, 0, 0, 2, 15
"d:\horizon\server\models\demo.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 20
"d:\horizon\server\models\horizon.js", "JavaScript", 283, 0, 0, 0, 0, 67, 7, 357
"d:\horizon\server\package-lock.json", "JSON", 0, 4777, 0, 0, 0, 0, 1, 4778
"d:\horizon\server\package.json", "JSON", 0, 48, 0, 0, 0, 0, 1, 49
"d:\horizon\server\public\assets\css\_reusable\chrome_safari_anims.css", "CSS", 0, 0, 0, 52, 0, 0, 16, 68
"d:\horizon\server\public\assets\css\about\about.css", "CSS", 0, 0, 0, 323, 0, 22, 72, 417
"d:\horizon\server\public\assets\css\aos.css", "CSS", 0, 0, 0, 1, 0, 1, 0, 2
"d:\horizon\server\public\assets\css\bifocal.css", "CSS", 0, 0, 0, 175, 0, 3, 32, 210
"d:\horizon\server\public\assets\css\blur_cards.css", "CSS", 0, 0, 0, 174, 0, 14, 46, 234
"d:\horizon\server\public\assets\css\bootstrap.min.css", "CSS", 0, 0, 0, 1, 0, 6, 0, 7
"d:\horizon\server\public\assets\css\color-1.css", "CSS", 0, 0, 0, 100, 0, 18, 14, 132
"d:\horizon\server\public\assets\css\contact.css", "CSS", 0, 0, 0, 260, 0, 15, 58, 333
"d:\horizon\server\public\assets\css\contactUtil.css", "CSS", 0, 0, 0, 2824, 0, 71, 89, 2984
"d:\horizon\server\public\assets\css\fontawesome-all.min.css", "CSS", 0, 0, 0, 1, 0, 4, 0, 5
"d:\horizon\server\public\assets\css\lenses.css", "CSS", 0, 0, 0, 324, 0, 0, 65, 389
"d:\horizon\server\public\assets\css\linearicons.css", "CSS", 0, 0, 0, 526, 0, 1, 4, 531
"d:\horizon\server\public\assets\css\lity.min.css", "CSS", 0, 0, 0, 195, 0, 3, 21, 219
"d:\horizon\server\public\assets\css\main.css", "CSS", 0, 0, 0, 1636, 0, 176, 374, 2186
"d:\horizon\server\public\assets\css\news.css", "CSS", 0, 0, 0, 283, 0, 1, 49, 333
"d:\horizon\server\public\assets\css\single-vision.css", "CSS", 0, 0, 0, 496, 0, 2, 76, 574
"d:\horizon\server\public\assets\css\slick-theme.css", "CSS", 0, 0, 0, 170, 0, 4, 31, 205
