"filename", "language", "JSON", "JavaScript", "Markdown", "HTML", "SCSS", "JavaScript React", "CSS", "XML", "comment", "blank", "total"
"d:\horizon\admin\REACT.md", "Markdown", 0, 0, 13, 0, 0, 0, 0, 0, 0, 7, 20
"d:\horizon\admin\build\asset-manifest.json", "JSON", 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 105
"d:\horizon\admin\build\index.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\horizon\admin\build\manifest.json", "JSON", 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"d:\horizon\admin\build\static\css\10.c3ec5e27.chunk.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2
"d:\horizon\admin\build\static\css\11.c3ec5e27.chunk.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2
"d:\horizon\admin\build\static\css\12.c3ec5e27.chunk.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2
"d:\horizon\admin\build\static\css\13.c3ec5e27.chunk.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2
"d:\horizon\admin\build\static\css\14.c3ec5e27.chunk.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2
"d:\horizon\admin\build\static\css\16.c3ec5e27.chunk.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2
"d:\horizon\admin\build\static\css\2.f5fd07a3.chunk.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2
"d:\horizon\admin\build\static\css\3.32263268.chunk.css", "CSS", 0, 0, 0, 0, 0, 0, 2, 0, 7, 0, 9
"d:\horizon\admin\build\static\css\8.afd7172b.chunk.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\horizon\admin\build\static\css\9.c3ec5e27.chunk.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2
"d:\horizon\admin\build\static\css\main.d461b232.chunk.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 7, 0, 8
"d:\horizon\admin\build\static\js\0.03c47104.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\js\1.a8e7c7e3.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 3
"d:\horizon\admin\build\static\js\10.9e474b74.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\js\11.883646e7.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\js\12.49748bc0.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\js\13.5b35fdd4.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\js\14.2feda185.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\js\15.d7281e72.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\js\16.046ed1e0.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\js\17.f98bb419.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
