"filename", "language", "JSON", "JavaScript", "HTML", "Markdown", "CSS", "SCSS", "JavaScript React", "XML", "comment", "blank", "total"
"d:\horizon\admin\REACT.md", "Markdown", 0, 0, 0, 13, 0, 0, 0, 0, 0, 7, 20
"d:\horizon\admin\build\asset-manifest.json", "JSON", 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 92
"d:\horizon\admin\build\index.html", "HTML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\horizon\admin\build\manifest.json", "JSON", 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"d:\horizon\admin\build\static\css\1.32263268.chunk.css", "CSS", 0, 0, 0, 0, 2, 0, 0, 0, 7, 0, 9
"d:\horizon\admin\build\static\css\10.f97facc2.chunk.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\css\11.f97facc2.chunk.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\css\12.f97facc2.chunk.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\css\13.f97facc2.chunk.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\css\4.f5fd07a3.chunk.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\css\6.f97facc2.chunk.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\css\7.f97facc2.chunk.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\css\8.f97facc2.chunk.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\css\9.f97facc2.chunk.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\css\main.e7eb32e2.chunk.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 7, 0, 8
"d:\horizon\admin\build\static\js\0.9a48460d.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\js\1.892cfbb1.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 3
"d:\horizon\admin\build\static\js\10.8bc8bd4b.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\js\11.f263f7a5.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\js\12.ff5da2c7.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\js\13.0dde4c8e.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\js\14.47bca291.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\js\15.46d9ff19.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\js\16.f782d41f.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\js\17.45a74af8.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\js\18.4f154f88.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\js\19.baaf09db.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\js\20.1c97e759.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\js\21.d06db8f3.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\js\22.44eb0ce8.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\js\23.2abad6fd.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\horizon\admin\build\static\js\24.5b8038df.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
