Date : 2021-08-30 19:18:38
Directory : d:\horizon
Total : 235 files,  52305 codes, 2920 comments, 3135 blanks, all 58360 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JSON             |         12 |     26,414 |         13 |          6 |     26,433 |
| CSS              |         42 |      9,599 |        571 |      1,336 |     11,506 |
| HTML             |         37 |      7,220 |      1,087 |        527 |      8,834 |
| JavaScript       |        120 |      5,082 |      1,002 |        685 |      6,769 |
| JavaScript React |         18 |      3,834 |        181 |        533 |      4,548 |
| SCSS             |          4 |        135 |         65 |         39 |        239 |
| Markdown         |          1 |         13 |          0 |          7 |         20 |
| XML              |          1 |          8 |          1 |          2 |         11 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                  | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                     |        235 |     52,305 |      2,920 |      3,135 |     58,360 |
| admin                                                                 |        118 |     26,594 |        885 |        925 |     28,404 |
| admin\build                                                           |         42 |        148 |         53 |          1 |        202 |
| admin\build\static                                                    |         39 |         40 |         53 |          0 |         93 |
| admin\build\static\css                                                |         11 |         12 |         23 |          0 |         35 |
| admin\build\static\js                                                 |         28 |         28 |         30 |          0 |         58 |
| admin\public                                                          |          2 |         39 |         27 |          7 |         73 |
| admin\src                                                             |         69 |      6,804 |        792 |        909 |      8,505 |
| admin\src\assets                                                      |          4 |        274 |          0 |          6 |        280 |
| admin\src\assets\icons                                                |          4 |        274 |          0 |          6 |        280 |
| admin\src\containers                                                  |          8 |        422 |         51 |         67 |        540 |
| admin\src\firebase                                                    |          1 |         15 |          1 |          5 |         21 |
| admin\src\queries                                                     |          1 |          0 |         17 |          6 |         23 |
| admin\src\reusable                                                    |          6 |        164 |         11 |         30 |        205 |
| admin\src\reusable\Accordion                                          |          3 |        100 |         11 |         23 |        134 |
| admin\src\routes                                                      |          1 |         10 |          0 |          4 |         14 |
| admin\src\scss                                                        |          4 |        135 |         65 |         39 |        239 |
| admin\src\services                                                    |          1 |         25 |          0 |          6 |         31 |
| admin\src\views                                                       |         35 |      5,505 |        526 |        670 |      6,701 |
| admin\src\views\Gallery                                               |          1 |        120 |          0 |         22 |        142 |
| admin\src\views\Preview                                               |          2 |         19 |          1 |          7 |         27 |
| admin\src\views\UploadImg                                             |          1 |        143 |          1 |         29 |        173 |
| admin\src\views\charts                                                |          4 |        499 |          5 |         41 |        545 |
| admin\src\views\dashboard                                             |          1 |         27 |        300 |          5 |        332 |
| admin\src\views\mailing                                               |          1 |         90 |          5 |         18 |        113 |
| admin\src\views\pages                                                 |         19 |      3,784 |        212 |        490 |      4,486 |
| admin\src\views\pages\landing                                         |         15 |      3,528 |        178 |        469 |      4,175 |
| admin\src\views\pages\login                                           |          1 |         96 |         18 |         10 |        124 |
| admin\src\views\pages\page404                                         |          1 |         42 |          0 |          3 |         45 |
| admin\src\views\pages\page500                                         |          1 |         42 |          0 |          3 |         45 |
| admin\src\views\pages\register                                        |          1 |         76 |         16 |          5 |         97 |
| admin\src\views\users                                                 |          3 |        157 |          0 |         30 |        187 |
| admin\src\views\widgets                                               |          3 |        666 |          2 |         28 |        696 |
| server                                                                |        115 |     24,978 |      2,035 |      2,209 |     29,222 |
| server\controllers                                                    |          4 |        704 |        214 |        168 |      1,086 |
| server\models                                                         |          8 |        487 |         23 |         21 |        531 |
| server\public                                                         |         51 |     10,004 |        629 |      1,411 |     12,044 |
| server\public\assets                                                  |         51 |     10,004 |        629 |      1,411 |     12,044 |
| server\public\assets\coming-soon                                      |          1 |        122 |         27 |         29 |        178 |
| server\public\assets\coming-soon\css                                  |          1 |        122 |         27 |         29 |        178 |
| server\public\assets\css                                              |         29 |      9,464 |        514 |      1,297 |     11,275 |
| server\public\assets\css\0                                            |          2 |        654 |          6 |        132 |        792 |
| server\public\assets\css\_reusable                                    |          2 |         55 |          0 |         16 |         71 |
| server\public\assets\css\about                                        |          1 |        330 |         22 |         76 |        428 |
| server\public\assets\css\nav                                          |          3 |        180 |          4 |         19 |        203 |
| server\public\assets\img                                              |          1 |          8 |          1 |          2 |         11 |
| server\public\assets\js                                               |         20 |        410 |         87 |         83 |        580 |
| server\public\assets\js\about                                         |          1 |         45 |         13 |         13 |         71 |
| server\routes                                                         |          4 |         66 |         36 |         32 |        134 |
| server\sample.data                                                    |          4 |        338 |          1 |          5 |        344 |
| server\schema                                                         |          1 |         38 |          2 |          7 |         47 |
| server\services                                                       |          3 |         83 |         14 |         16 |        113 |
| server\views                                                          |         33 |      7,152 |      1,058 |        520 |      8,730 |
| server\views\0                                                        |          9 |      3,531 |        465 |        254 |      4,250 |
